,type,open_ts,open_price,close_ts,close_price,duration,profit,balance
44,long,2024-11-21 04:45:00,0.38699,2024-11-21 06:05:00,0.38235,80,-0.10139484362162161,9.569451199880206
45,short,2024-11-21 06:05:00,0.38235,2024-11-21 06:10:00,0.38344,5,-0.03921129869478095,9.530239901185425
46,long,2024-11-21 06:10:00,0.38344,2024-11-21 06:15:00,0.38308,5,-0.026270594431555935,9.503969306753868
47,short,2024-11-21 06:15:00,0.38308,2024-11-21 06:20:00,0.38494,5,-0.052292422955248045,9.451676883798621
48,long,2024-11-21 06:20:00,0.38494,2024-11-21 07:25:00,0.3857,65,-0.006799049304268666,9.444877834494353
49,short,2024-11-21 07:25:00,0.3857,2024-11-21 07:30:00,0.3853,5,-0.012970851283777774,9.431906983210576
50,long,2024-11-21 07:30:00,0.3853,2024-11-21 07:45:00,0.38447,15,-0.034015304740756355,9.397891678469819
51,short,2024-11-21 07:45:00,0.38447,2024-11-21 08:55:00,0.38542,70,-0.03600692676347483,9.361884751706343
52,long,2024-11-21 08:55:00,0.38542,2024-11-21 09:20:00,0.38464,25,-0.032909082272489176,9.328975669433854
53,short,2024-11-21 09:20:00,0.38464,2024-11-21 09:25:00,0.38449,5,-0.01704165488611475,9.31193401454774
54,long,2024-11-21 09:25:00,0.38449,2024-11-21 11:40:00,0.38272,135,-0.04953230078080801,9.262401713766932
55,short,2024-11-21 11:40:00,0.38272,2024-11-21 12:15:00,0.38634,35,-0.08083899528324394,9.181562718483688
56,long,2024-11-21 12:15:00,0.38634,2024-11-21 12:45:00,0.38924,30,0.028914436431172377,9.21047715491486
57,short,2024-11-21 12:45:00,0.38924,2024-11-21 12:50:00,0.38741,5,0.011000254311852566,9.221477409226713
58,long,2024-11-21 12:50:00,0.38741,2024-11-21 13:15:00,0.38943,25,0.014258525864231741,9.235735935090945
59,short,2024-11-21 13:15:00,0.38943,2024-11-21 13:35:00,0.38921,20,-0.01573912363605015,9.219996811454894
60,long,2024-11-21 13:35:00,0.38921,2024-11-21 13:40:00,0.38992,5,-0.007600332306450408,9.212396479148444
61,short,2024-11-21 13:40:00,0.38992,2024-11-21 14:00:00,0.38845,20,0.004989819704571782,9.217386298853015
62,long,2024-11-21 14:00:00,0.38845,2024-11-21 14:15:00,0.39527,15,0.09381068761018314,9.311196986463198
63,short,2024-11-21 14:15:00,0.39527,2024-11-21 14:30:00,0.38932,15,0.07865762449744618,9.389854610960644
64,long,2024-11-21 14:30:00,0.38932,2024-11-21 14:50:00,0.38602,20,-0.07537695417949285,9.31447765678115
65,short,2024-11-21 14:50:00,0.38602,2024-11-21 14:55:00,0.38756,5,-0.04559803823007213,9.268879618551079
66,long,2024-11-21 14:55:00,0.38756,2024-11-21 15:10:00,0.38534,15,-0.05659292433875812,9.21228669421232
67,short,2024-11-21 15:10:00,0.38534,2024-11-21 15:25:00,0.37835,15,0.097747659595696,9.310034353808016
68,long,2024-11-21 15:25:00,0.37835,2024-11-21 18:30:00,0.38428,185,0.08249017709726815,9.392524530905284
69,short,2024-11-21 18:30:00,0.38428,2024-11-21 18:35:00,0.38465,5,-0.02606107812923803,9.366463452776046
70,long,2024-11-21 18:35:00,0.38465,2024-11-21 19:00:00,0.38727,25,0.024944792740120472,9.391408245516166
71,short,2024-11-21 19:00:00,0.38727,2024-11-21 19:20:00,0.38589,20,0.0037272447024760593,9.395135490218642
72,long,2024-11-21 19:20:00,0.38589,2024-11-21 19:50:00,0.38572,30,-0.022624140698866396,9.372511349519776
73,short,2024-11-21 19:50:00,0.38572,2024-11-21 19:55:00,0.38501,5,-0.007593721830330315,9.364917627689445
74,long,2024-11-21 19:55:00,0.38501,2024-11-21 20:00:00,0.3883,5,0.03629543473160387,9.40121306242105
75,short,2024-11-21 20:00:00,0.3883,2024-11-21 20:30:00,0.38848,30,-0.022796210574815345,9.378416851846234
76,long,2024-11-21 20:30:00,0.38848,2024-11-21 20:55:00,0.38706,25,-0.04366714296606056,9.334749708880173
77,short,2024-11-21 20:55:00,0.38706,2024-11-21 21:10:00,0.38306,15,0.04799232474856498,9.382742033628737
78,long,2024-11-21 21:10:00,0.38306,2024-11-21 21:20:00,0.38391,10,-0.0051442929688427595,9.377597740659894
79,short,2024-11-21 21:20:00,0.38391,2024-11-21 21:25:00,0.384,5,-0.021233366930828113,9.356364373729066
80,long,2024-11-21 21:25:00,0.384,2024-11-21 21:35:00,0.38539,10,0.0040355900055409726,9.360399963734608
